JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458810.64311,3.857,0.011,,V,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458810.64659,3.063,0.010,,R,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458810.65073,2.277,0.011,,I,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458811.2737,5.310,0.012,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.76,Z,5.42,3.522,,ZET AUR,AAVSO,STD,,,,
2458811.2737,3.961,0.010,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.76,Z,4.25,3.197,,ZET AUR,AAVSO,STD,,,,
2458811.4147,5.328,0.007,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.08,Z,5.42,3.587,,ZET AUR,AAVSO,STD,,,,
2458811.4147,3.991,0.011,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.08,Z,4.25,3.334,,ZET AUR,AAVSO,STD,,,,
2458811.66341,5.466,0.017,,B,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458811.66763,3.877,0.013,,V,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458811.69213,3.097,0.015,,R,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458811.69834,2.281,0.015,,I,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458812.3178,5.355,0.014,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.40,Z,5.42,3.542,,ZET AUR,AAVSO,STD,,,,
2458812.3178,3.981,0.015,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.40,Z,4.25,3.202,,ZET AUR,AAVSO,STD,,,,
2458812.3265,5.336,0.012,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.36,Z,5.42,3.529,,ZET AUR,AAVSO,STD,,,,
2458812.3265,3.977,0.009,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.36,Z,4.25,3.216,,ZET AUR,AAVSO,STD,,,,
2458812.714,3.9,,,Vis.,BGZ,,43,0,X16069DCN,,,,Z,,,,ZET AUR,,STD,,,,
2458813.66025,5.475,0.013,,B,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458813.66489,3.879,0.009,,V,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458813.66826,3.088,0.011,,R,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458813.67161,2.289,0.011,,I,SAH,,ENSEMBLE,,1964CFV,,0,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458814.28160,3.8,,,Vis.,REE,,3.2,4.3,x24147cm,,,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458814.3710,5.311,0.037,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.16,Z,5.42,3.506,,ZET AUR,AAVSO,STD,,,,
2458814.3710,3.982,0.027,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.16,Z,4.25,3.178,,ZET AUR,AAVSO,STD,,,,
2458815.271186,5.314,0.039,,TB,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,5.48,2.994,2458815.2764462,zet Aur,BAV,STD,1,,,
2458815.271186,3.956,0.045,,TG,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,4.255,3.172,2458815.2764462,zet Aur,BAV,STD,1,,,
2458815.271186,2.865,0.040,,TR,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,3.310,3.230,2458815.2764462,zet Aur,BAV,STD,1,,,
2458816.27118,3.8,,,Vis.,REE,,3.2,4.3,x24147cm,,,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458816.6932,5.269,0.019,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.69,Z,5.42,3.475,,ZET AUR,AAVSO,STD,,,,
2458816.6932,3.926,0.014,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.69,Z,4.25,3.137,,ZET AUR,AAVSO,STD,,,,
2458816.6963,5.312,0.021,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.72,Z,5.42,3.487,,ZET AUR,AAVSO,STD,,,,
2458816.6963,3.928,0.011,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.72,Z,4.25,3.130,,ZET AUR,AAVSO,STD,,,,
2458816.6979,5.284,0.024,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.73,Z,5.42,3.470,,ZET AUR,AAVSO,STD,,,,
2458816.6979,3.912,0.013,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.73,Z,4.25,3.119,,ZET AUR,AAVSO,STD,,,,
2458817.27951,3.7,,,Vis.,REE,,3.2,4.3,x24147cm,,,,Z,,,,ZET AUR,AAVSO,STD,,,,
2458817.513026,5.334,0.018,,TB,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,5.48,2.994,2458817.5183301,zet Aur,BAV,STD,1,,,
2458817.513026,3.849,0.030,,TG,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,4.255,3.172,2458817.5183301,zet Aur,BAV,STD,1,,,
2458817.513026,2.794,0.026,,TR,LPEB,,000-BFS-940,000-BFS-941,X24862AU,,0,,Z,3.310,3.230,2458817.5183301,zet Aur,BAV,STD,1,,,
2458818.2601,5.323,0.013,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.70,Z,5.42,3.526,,ZET AUR,AAVSO,STD,,,,
2458818.2601,3.971,0.022,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.70,Z,4.25,3.170,,ZET AUR,AAVSO,STD,,,,
2458818.2638,5.292,0.014,,TB,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,0,1.67,Z,5.42,3.533,,ZET AUR,AAVSO,STD,,,,
2458818.2638,3.998,0.026,,V,VOL,,58 PER = HD 29095,ETA AUR = HD 32630,,,1,1.67,Z,4.25,3.277,,ZET AUR,AAVSO,STD,,,,
