element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support	wave_peak	wave_base	wave_top	note	peak	base	top	depth	relative_depth	wave_base_fit	wave_top_fit	base_fit	top_fit	mu	sig	A	baseline	gamma	mu_err	fwhm	fwhm_kms	R	depth_fit	relative_depth_fit	integrated_flux	ewr	ew	ew_err	snr	mean_flux	mean_flux_continuum	diff_wavelength	rms	telluric_wave_peak	telluric_fwhm	telluric_R	telluric_depth	grouped	reference_for_group	discarded
Fe 1	3927.920	392.7920	-1.522	0.1100	887.210	1.0	3.2660	26342.067	2.0	5.0	1.500	1.500	AO	1.41E+07	7.150	-6.220	232.247	-7.770	232.247	1.000	1.000	793.950	s	p	F	0	1	26.0	26.000000	26.00	BWL    E 0	T	T	T	F	T	T	392.7920	392.7430	392.8420		17783	17733	17832	0.546	0.473	392.7870	392.7950	17777	17785	392.7949	0.0080	-0.5725	1.000	9999.0000	35652.9317	0.0188	14.3781	20851	0.572	0.134	0.0115	-4.53	114.8	6.2	85.1	0.893	1.000	0.0480	0.039	0.0000	0.0000	0	0.000	False	False	False
Fe 1	3930.297	393.0297	-1.491	0.0870	701.702	2.0	3.2410	26140.428	3.0	7.0	1.500	1.500	AO	1.45E+07	7.160	-6.220	231.247	-7.771	231.247	1.000	1.000	842.250	s	p	F	0	1	26.0	26.000000	26.00	BWL    E 0	T	T	T	F	T	T	393.0300	392.9810	393.0800		18021	17971	18070	0.633	0.561	392.9810	393.0800	17971	18070	393.0369	0.0149	-0.6926	1.000	9999.0000	0.0054	0.0351	26.7564	11205	0.693	0.501	0.0259	-4.18	258.6	9.5	95.2	0.960	1.000	0.0894	0.081	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4063.594	406.3594	0.062	1.5570	12558.052	3.0	4.6080	37166.027	3.0	7.0	1.090	1.090	AO	1.20E+08	8.080	-6.240	323.255	-7.627	323.255	1.000	1.000	1195.880	s	p	F	0	1	26.0	26.000000	26.00	BWL    E 0	T	T	T	T	T	T	406.3600	406.3110	406.4100		31351	31301	31400	0.741	0.668	406.3570	406.3670	31347	31357	406.3647	0.0100	-0.7817	1.000	9999.0000	0.0051	0.0235	17.3725	17257	0.782	0.094	0.0196	-4.32	195.9	6.0	102.6	0.739	1.000	0.0600	0.045	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4071.738	407.1738	-0.022	1.6080	12969.395	2.0	4.6520	37520.911	2.0	5.0	0.670	0.690	AO	1.17E+08	8.070	-6.240	329.252	-7.619	329.252	1.000	1.000	1039.600	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	T	T	T	407.1740	407.1740	407.2240		32165	32165	32214	0.702	0.629	407.1750	407.2240	32165	32214	407.1808	0.0167	-0.7383	1.000	9999.0000	21400.4216	0.0392	28.8683	10385	0.738	0.684	0.0308	-4.12	308.1	8.8	115.4	0.879	1.000	0.0999	0.053	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4202.029	420.2029	-0.708	1.4850	11977.333	4.0	4.4350	35770.688	4.0	9.0	1.250	1.100	AO	9.77E+07	7.990	-6.080	306.265	-7.653	306.265	1.000	1.000	545.220	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	T	T	T	420.2030	420.1540	420.2530		45194	45144	45243	0.434	0.361	420.2010	420.2050	45191	45195	420.2044	0.0040	-0.4458	1.000	9999.0000	0.0148	0.0094	6.7201	44611	0.446	0.053	0.0045	-4.97	44.7	2.8	110.0	0.668	1.000	0.0240	0.040	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4250.787	425.0787	-0.714	1.5570	12558.052	3.0	4.4730	36077.178	3.0	7.0	1.090	0.790	AO	9.12E+07	7.960	-6.080	310.262	-7.646	310.262	1.000	0.990	510.400	s	p	F	0	1	26.0	26.000000	26.00	BWL    E 0	T	T	T	T	T	T	425.0790	425.0390	425.1290		50070	50029	50119	0.527	0.455	425.0790	425.0810	50069	50071	425.0790	0.0020	-0.6656	1.000	9999.0000	90643.7083	0.0047	3.3215	90257	0.666	0.143	0.0033	-5.11	33.4	1.3	114.7	0.506	1.000	0.0120	0.116	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4271.760	427.1760	-0.164	1.4850	11977.333	4.0	4.3870	35383.542	5.0	11.0	1.250	1.250	AO	1.05E+08	8.020	-6.070	301.266	-7.660	301.266	1.000	1.000	1013.740	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	T	T	T	427.1760	427.1340	427.2260		52167	52124	52216	0.782	0.710	427.1750	427.1800	52165	52170	427.1788	0.0050	-0.8147	1.000	9999.0000	0.0075	0.0118	8.2630	36281	0.815	0.060	0.0102	-4.62	102.1	4.5	84.8	0.378	1.000	0.0300	0.065	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4294.124	429.4124	-1.110	1.4850	11977.333	4.0	4.3710	35254.493	4.0	9.0	1.250	1.100	AO	1.12E+08	8.050	-6.060	300.266	-7.661	300.266	1.000	0.970	354.670	s	p	F	0	1	26.0	26.000000	26.00	BWL    E 0	T	T	T	T	T	T	429.4100	429.3610	429.4600		54401	54351	54450	0.827	0.755	429.4070	429.4120	54397	54402	429.4110	0.0050	-0.8405	1.000	9999.0000	0.0037	0.0118	8.2201	36471	0.841	0.074	0.0105	-4.61	105.3	4.2	88.7	0.381	1.000	0.0300	0.072	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4307.902	430.7902	-0.073	1.5570	12558.052	3.0	4.4350	35770.688	4.0	9.0	1.090	1.100	AO	9.77E+07	7.990	-6.080	306.263	-7.652	306.263	1.000	1.000	1056.120	s	p	F	0	1	26.0	26.000000	26.00	BWL    E 0	T	T	T	T	T	T	430.7900	430.7410	430.8400		55781	55731	55830	0.862	0.790	430.7870	430.7930	55777	55783	430.7914	0.0060	-0.8857	1.000	9999.0000	27240.0194	0.0141	9.8325	30490	0.886	0.050	0.0133	-4.51	133.2	5.5	81.8	0.342	1.000	0.0360	0.071	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4383.544	438.3544	0.200	1.4850	11977.333	4.0	4.3130	34786.691	5.0	11.0	1.250	1.220	AO	1.02E+08	8.010	-6.080	295.265	-7.669	295.265	1.000	1.000	1555.300	s	p	F	0	1	26.0	26.000000	26.00	FMW    N B	T	T	T	T	T	T	438.3550	438.3060	438.4050		63346	63296	63395	0.904	0.832	438.3530	438.3570	63343	63347	438.3560	0.0040	-0.9272	1.000	9999.0000	0.0054	0.0094	6.4419	46538	0.927	0.045	0.0093	-4.67	93.0	5.4	69.5	0.178	1.000	0.0240	0.087	0.0000	0.0000	0	0.000	False	False	False
