wave_peak	wave_base	wave_top	note	flux	loggf	lower_state_eV	upper_state_eV	EW	EWR	errEWR	error_f
388.61699999967766	388.56699999967867	388.64199999967695	Fe 1	0.06057749830791034	-1.0759999999999998	0.052	3.241	0.0400853000888909	-3.986536655648408	0.2674683060582637	0.03463312522222895
388.69099999967585	388.6579999996766	388.7119999996753	Fe 1	0.26299889681029304	-1.1440000000000001	0.915	4.103	0.00439558098871873	-4.946588198461418	1.8942103304111162	0.03362699582722875
388.8679999996716	388.79399999967336	388.95499999966967	Fe 1	-0.0005294018653463349	-0.5479999999999999	1.608	4.796	0.11025175002866125	-3.5474167147048874	0.02776578900856256	0.032620897428519084
389.54599999965563	389.5089999996565	389.57899999965485	Fe 1	0.2764871431996902	-1.67	0.11	3.292	0.02678757428956835	-4.162625360740037	0.011695319454854166	0.031614832985342484
390.2769999996383	390.2379999996392	390.33499999963686	Fe 1	0.4056654650931441	-0.466	1.557	4.733	0.02771369082387994	-4.148678590340915	0.02472652111534917	0.03060880584589782
390.62499999963006	390.5879999996309	390.6589999996293	Fe 1	0.5257575305175632	-2.2430000000000003	0.11	3.283	0.01624321806036163	-4.381087960065497	0.097173948500415	0.02921821501341568
392.0099999995973	391.96099999959847	392.05099999959634	Fe 1	0.3280629035628455	-1.746	0.121	3.283	0.02708731109561249	-4.160531250210442	0.03165875895857258	0.02668664886755437
392.2719999995911	392.2299999995921	392.31599999959013	Fe 1	0.2837107329029793	-1.651	0.052	3.211	0.03160315281552885	-4.093856898545465	0.008984595788605845	0.02416613770535819
392.7729999995792	392.7099999995808	392.81799999957815	Fe 1	0.26352452966225	-1.5219999999999998	0.11	3.266	0.03308373215760819	-4.074527129705478	0.028352333250329476	0.021660541083102502
393.0109999995736	392.9469999995752	393.0589999995725	Fe 1	0.20866702536590032	-1.4909999999999999	0.087	3.241	0.0349832708275022	-4.0505442937996925	0.058757562734157893	0.019175706324290925
404.56499999930037	404.5119999993017	404.6089999992994	Fe 1	0.06567729168546987	0.28	1.485	4.549	0.04763306133361928	-3.9290798139614505	0.0021255751551716023	0.016720892041466363
406.3409999992584	406.2869999992597	406.3889999992573	Fe 1	0.14294264268702395	0.062	1.557	4.608	0.03741830875349809	-4.035806490850509	0.0028497397909500316	0.015346744229922275
407.1579999992391	407.10299999924035	407.1959999992382	Fe 1	0.1724815819957558	-0.022000000000000002	1.608	4.652	0.033756803323074264	-4.081401658998664	0.0013946346732578209	0.019948190190971986
420.18399999893114	420.14299999893205	420.2179999989303	Fe 1	0.3342286604584841	-0.708	1.485	4.435	0.021823716739051743	-4.284510794989499	0.012785305728138947	0.024641062661587144
425.05799999881583	425.01799999881683	425.10099999881487	Fe 1	0.3001332299615844	-0.7140000000000001	1.557	4.473	0.018797906809330283	-4.354338702173972	0.059067683238430084	0.029381585900864367
427.1569999987662	427.1099999987673	427.19599999876533	Fe 1	0.11565189842766085	-0.16399999999999998	1.485	4.387	0.03565634899047521	-4.078450655916545	0.01593344679503887	0.03414992173882707
429.3899999987134	429.32099999871497	429.4359999987123	Fe 1	0.08164945743797575	-1.11	1.485	4.371	0.04523447284262478	-3.9773823925329848	0.07866948509246682	0.03893585318503616
430.7689999986808	430.7279999986817	430.80799999868	Fe 1	0.06975883271253625	-0.073	1.557	4.435	0.044210045268643854	-3.9887234824405557	0.00697643517216086	0.04344174495125118
