wave_peak	wave_base	wave_top	note	flux	loggf	lower_state_eV	upper_state_eV	EW	EWR	error_f	errEWR
389.56957112294447	389.50855925667054	389.58177349619916	Fe 1	0.2394677114795151	-1.67	0.11	3.292	0.019307067446608876	-4.304868713503514	0.006615325794187886	0.10057574057240616
390.3017135182312	390.2407016519574	390.3322194513682	Fe 1	0.3341736507954609	-0.466	1.557	4.733	0.02920205344708394	-4.125987066446747	0.007862057252322271	0.02156608817957857
390.64948115599253	390.58846928971855	390.6616835292472	Fe 1	0.4321940604587707	-2.2430000000000003	0.11	3.283	0.0184291732665657	-4.326281398645948	0.05396712962589265	0.012970469667174233
392.03445052041	391.9612362808813	392.0527540802921	Fe 1	0.2798292839603135	-1.746	0.121	3.283	0.03005915731918047	-4.115347431495921	0.008088860740361317	0.010299521405335335
392.29680154538767	392.2296884924865	392.3151051052699	Fe 1	0.24716953004747755	-1.651	0.052	3.211	0.03182859911726275	-4.09079724298206	0.00787352675993156	0.05413127912118345
392.7970988488337	392.71168223605036	392.81540240871584	Fe 1	0.2333623333110426	-1.5219999999999998	0.11	3.266	0.03032057357607506	-4.112430858869011	0.0062978055678948024	0.06943843166919113
393.0350451273019	392.9496285145185	393.05944987381133	Fe 1	0.19070744204023216	-1.4909999999999999	0.087	3.241	0.036531536056541	-4.031763342588696	0.007480070384098716	0.07566924450727568
404.5906925995784	404.5113771734223	404.6089961594605	Fe 1	0.09247977953759268	0.28	1.485	4.549	0.04377434551839843	-3.9657962262744064	0.11432515682772948	0.06006571860048763
406.3661379081488	406.2868224819927	406.39054265465836	Fe 1	0.15106177007798366	0.062	1.557	4.608	0.0398852585696664	-4.008105099593109	0.1114431744861196	0.01953643906780947
407.1836969162191	407.10438149006296	407.1958992894738	Fe 1	0.17439544544266286	-0.022000000000000002	1.608	4.652	0.030924935963566193	-4.11948157210777	0.0753374135939698	0.061849557711753655
420.2097303656965	420.14261731279515	420.21583155232383	Fe 1	0.28853841804144564	-0.708	1.485	4.435	0.01776845258544825	-4.373816496975246	0.06949365549791482	0.13962899221482045
425.084578480981	425.0174654280797	425.10288204086316	Fe 1	0.2611995884602633	-0.7140000000000001	1.557	4.473	0.020505231116728945	-4.3166106809782505	0.07747678567541091	0.05523613548725806
427.1833866808032	427.11017244127436	427.19558905405785	Fe 1	0.12559190171487725	-0.16399999999999998	1.485	4.387	0.028819287489637954	-4.1709311150959225	0.1136351187744946	0.08188757809087281
429.4164209864279	429.3188020003896	429.43472454631006	Fe 1	0.09265239634971996	-1.11	1.485	4.371	0.03458956712029688	-4.093933520979885	0.09498666583720217	0.11316959320898963
430.79528916421793	430.7281761113168	430.8074915374727	Fe 1	0.0852919095310165	-0.073	1.557	4.435	0.032633614827954384	-4.1206057622670285	0.07989602035941137	0.1502178898653384
438.3607605821814	438.2875463426527	438.3790641420636	Fe 1	0.07625480648544891	0.2	1.485	4.313	0.03834668970733282	-4.058103792521424	0.027576501774337073	0.10067440810523809
440.48397352851305	440.41075928898437	440.50227708839526	Fe 1	0.11384486411762745	-0.142	1.557	4.371	0.034127480138946356	-4.11082588917694	0.009821850038333432	0.05638684063756701
